ID,name,Jee marks,school name,date of application,Father name,Mother name,EmailId,ContactNo,Gender,School completion date,City,CBSE marks
793,Melinda Reynolds,286.009714182471,Middle school,4/13/2022,Melinda Reynolds,Melinda Reynolds,Melinda_Reynolds7093@fuliss.net,1-541-307-8663,Female,1/14/2022,Tokyo,54.3838119783363
794,Rick Booth,327.611606334621,Public university,4/15/2022,Rick Booth,Rick Booth,Rick_Booth4297@yahoo.com,4-688-531-8553,Male,6/11/2021,Garland,109.397186613361
795,Ethan Yates,-47.6093353278047,Graduate school,4/12/2022,Ethan Yates,Ethan Yates,Ethan_Yates4073@gmail.com,4-258-486-8173,Male,5/4/2020,Oklahoma City,16.1518776426799
796,Noah Shelton,9.84900057355361,University college,4/2/2022,Noah Shelton,Noah Shelton,Noah_Shelton4823@fuliss.net,3-117-181-3745,Male,2/12/2021,Henderson,197.737310497899
797,Gloria Denton,-77.5241623183359,Technical college,3/4/2022,Gloria Denton,Gloria Denton,Gloria_Denton4790@atink.com,1-578-574-1136,Female,12/9/2021,Wien,146.629056928507
798,Teagan Verdon,-25.0811690520873,Public university,3/7/2022,Teagan Verdon,Teagan Verdon,Teagan_Verdon1044@bulaffy.com,4-234-557-2167,Female,4/2/2020,Innsbruck,145.321016591657
799,Emely Jenkins,-35.4509202854014,Public university,3/27/2022,Emely Jenkins,Emely Jenkins,Emely_Jenkins1255@nanoff.biz,0-042-036-1113,Female,9/3/2021,Saint Paul,15.9217675174222
800,Michael Gallacher,107.398530138376,Graduate school,3/11/2022,Michael Gallacher,Michael Gallacher,Michael_Gallacher7119@infotech44.tech,7-046-340-8644,Male,5/10/2021,Moreno Valley,104.418612839849
801,Boris Norton,282.619721070221,Junior college,4/7/2022,Boris Norton,Boris Norton,Boris_Norton6009@liret.org,1-325-310-0541,Male,3/16/2022,Washington,102.79339729333
802,Carter Welsch,143.245415061361,Junior college,3/22/2022,Carter Welsch,Carter Welsch,Carter_Welsch4978@nanoff.biz,0-123-624-3263,Male,11/29/2021,Fremont,122.95414747901
803,Nathan Richardson,208.298939102469,Technical college,3/2/2022,Nathan Richardson,Nathan Richardson,Nathan_Richardson2958@grannar.com,3-021-855-8471,Male,1/13/2021,Reno,159.749181669554
804,Hayden Connor,361.78664465099,Public university,4/2/2022,Hayden Connor,Hayden Connor,Hayden_Connor3078@dionrab.com,4-810-643-4006,Male,1/6/2022,San Antonio,144.437582041341
805,Ryan Poulton,-80.3148597280098,High school,3/15/2022,Ryan Poulton,Ryan Poulton,Ryan_Poulton6429@nimogy.biz,1-175-524-0023,Male,9/12/2020,Murfreesboro,103.529327901792
806,Cara Vinton,-84.4957708993441,Graduate school,4/13/2022,Cara Vinton,Cara Vinton,Cara_Vinton9555@bretoux.com,1-334-205-7826,Female,4/3/2022,San Diego,88.3987267112353
807,Renee Whinter,169.533475025805,Gymnasium,3/9/2022,Renee Whinter,Renee Whinter,Renee_Whinter7633@gembat.biz,4-181-275-0776,Female,1/4/2022,Escondido,165.084077459334
808,Erick Duvall,463.746873510418,Graduate school,4/16/2022,Erick Duvall,Erick Duvall,Erick_Duvall7910@bretoux.com,0-111-180-1884,Male,7/10/2020,Salt Lake City,196.12313216977
809,Camila Atkinson,412.391990047596,University-preparatory school,3/11/2022,Camila Atkinson,Camila Atkinson,Camila_Atkinson461@bungar.biz,8-055-462-6026,Female,2/19/2022,El Paso,30.3517510692364
810,Esmeralda Adams,374.805727815165,University-preparatory school,3/14/2022,Esmeralda Adams,Esmeralda Adams,Esmeralda_Adams7377@twace.org,6-804-442-5772,Female,9/20/2021,Tokyo,191.403954832537
811,Ron London,101.276135552803,Gymnasium,3/13/2022,Ron London,Ron London,Ron_London9899@corti.com,6-218-277-8254,Male,12/11/2021,Quebec,183.348209842736
812,Courtney Robinson,122.455713165671,High school,3/28/2022,Courtney Robinson,Courtney Robinson,Courtney_Robinson7788@sveldo.biz,4-734-657-2028,Female,10/19/2021,San Bernardino,2.17468796306042
813,Fiona Addis,77.7104500158273,Middle school,4/16/2022,Fiona Addis,Fiona Addis,Fiona_Addis890@liret.org,6-440-538-1415,Female,3/6/2021,St. Louis,29.0574014392017
814,Clint Wright,-96.1168719404921,Technical college,3/29/2022,Clint Wright,Clint Wright,Clint_Wright8783@nickia.com,5-802-620-8088,Male,7/23/2021,Berlin,152.338998180506
815,Gabriel Myatt,-0.294648753150668,Technical college,3/23/2022,Gabriel Myatt,Gabriel Myatt,Gabriel_Myatt7495@nickia.com,3-540-234-6322,Male,4/16/2020,Escondido,199.732402366927
816,Rufus Parsons,196.639252681117,Gymnasium,4/9/2022,Rufus Parsons,Rufus Parsons,Rufus_Parsons6571@gompie.com,7-224-015-2330,Male,7/17/2020,Toledo,21.0988793443418
817,Rufus Flett,488.175619826268,Gymnasium,3/7/2022,Rufus Flett,Rufus Flett,Rufus_Flett1302@typill.biz,4-663-570-3166,Male,12/24/2020,El Paso,66.6645348461645
818,George Dwyer,99.0580330216596,Technical college,3/17/2022,George Dwyer,George Dwyer,George_Dwyer3339@grannar.com,7-254-243-8386,Male,7/4/2021,Oakland,90.780797463274
819,Mason Wilcox,443.248830910422,University-preparatory school,3/18/2022,Mason Wilcox,Mason Wilcox,Mason_Wilcox7478@cispeto.com,4-718-068-1743,Male,9/27/2020,Tallahassee,109.719957508948
820,Percy Vass,131.877514732945,Gymnasium,3/18/2022,Percy Vass,Percy Vass,Percy_Vass8461@cispeto.com,5-542-047-8762,Male,2/8/2021,Orlando,30.638656874019
821,John Higgs,141.401163858548,Graduate school,3/24/2022,John Higgs,John Higgs,John_Higgs3870@zorer.org,1-006-664-1235,Male,7/1/2021,Columbus,80.7001049573068
822,Irene Swan,199.244881490359,Public university,3/10/2022,Irene Swan,Irene Swan,Irene_Swan1586@qater.org,2-470-734-7880,Female,2/18/2022,Lancaster,9.51186223491647
823,George Nielson,192.974149906996,Gymnasium,3/27/2022,George Nielson,George Nielson,George_Nielson6925@womeona.net,5-153-366-3505,Male,2/24/2022,Anaheim,55.4060507828398
824,Candace Farmer,182.295035459704,Junior college,3/1/2022,Candace Farmer,Candace Farmer,Candace_Farmer6359@zorer.org,2-133-231-3086,Female,7/19/2021,Ontario,194.961026718822
825,Denny Terry,40.6623069041699,Technical college,4/1/2022,Denny Terry,Denny Terry,Denny_Terry8628@irrepsy.com,0-813-544-6238,Male,4/24/2021,San Francisco,0.441494987551819
826,Wade Jarvis,191.519944004025,Middle school,4/17/2022,Wade Jarvis,Wade Jarvis,Wade_Jarvis734@famism.biz,0-145-045-5052,Male,10/10/2021,Oklahoma City,94.8070640567723
827,Kendra Tutton,-64.7540846619541,High school,3/22/2022,Kendra Tutton,Kendra Tutton,Kendra_Tutton7106@brety.org,0-137-104-0364,Female,9/22/2020,Ontario,80.2589559584199
828,Mark Casey,-3.07555295204537,Middle school,3/6/2022,Mark Casey,Mark Casey,Mark_Casey7990@elnee.tech,8-371-535-5503,Male,7/14/2020,St. Louis,5.69923484544234
829,Jenna Thornton,164.433788225257,Junior college,4/18/2022,Jenna Thornton,Jenna Thornton,Jenna_Thornton8360@grannar.com,4-534-036-0347,Female,10/14/2020,Jersey City,112.294536920867
830,Isabella Eyres,32.6995217682326,University college,4/15/2022,Isabella Eyres,Isabella Eyres,Isabella_Eyres9510@typill.biz,4-748-771-4350,Female,5/16/2020,Omaha,177.972800543985
831,Ethan Bell,454.672739909344,University college,3/18/2022,Ethan Bell,Ethan Bell,Ethan_Bell9758@sheye.org,4-363-678-4200,Male,11/30/2020,Glendale,172.740356730176
832,Tyler Hunter,359.638613438065,High school,4/14/2022,Tyler Hunter,Tyler Hunter,Tyler_Hunter1502@gmail.com,3-475-834-8353,Male,7/19/2020,Portland,4.19799717152398
833,Doug Stewart,-19.2785730665916,Corporate university,4/1/2022,Doug Stewart,Doug Stewart,Doug_Stewart198@mafthy.com,0-055-342-5737,Male,8/27/2020,Murfreesboro,162.300042046839
834,Brad Squire,106.409401916158,Public university,3/17/2022,Brad Squire,Brad Squire,Brad_Squire2830@zorer.org,0-302-644-4044,Male,3/11/2021,Milwaukee,197.017649170485
835,Sienna Robinson,-65.6653450809723,High school,4/5/2022,Sienna Robinson,Sienna Robinson,Sienna_Robinson4246@gompie.com,2-446-013-1102,Female,2/13/2021,Washington,11.3930269500208
836,Samantha Emmott,339.053327829136,Technical college,3/15/2022,Samantha Emmott,Samantha Emmott,Samantha_Emmott2346@extex.org,4-581-782-8767,Female,5/11/2021,Tulsa,168.84741015213
837,Tyson Bristow,121.855618680294,Public university,4/8/2022,Tyson Bristow,Tyson Bristow,Tyson_Bristow4379@naiker.biz,2-807-445-0801,Male,1/13/2021,Tulsa,26.6635734390763
838,Julian Coleman,84.5585487836779,High school,3/15/2022,Julian Coleman,Julian Coleman,Julian_Coleman5457@dionrab.com,2-374-845-7187,Male,2/14/2022,Huntsville,118.60393125592
839,Ally Richardson,61.06457310918,Middle school,3/30/2022,Ally Richardson,Ally Richardson,Ally_Richardson3620@kideod.biz,8-387-243-3683,Female,9/30/2020,Arlington,140.307254649842
840,Angelica Edmonds,299.006965525917,Junior college,3/4/2022,Angelica Edmonds,Angelica Edmonds,Angelica_Edmonds482@gompie.com,4-747-583-7441,Female,4/3/2022,Richmond,-7.80065713394464
841,Denny Wilkinson,12.9092284286903,Technical college,4/4/2022,Denny Wilkinson,Denny Wilkinson,Denny_Wilkinson6841@fuliss.net,0-527-660-5378,Male,7/19/2021,Nashville,125.053116854305
842,Chadwick Harrison,405.226847158385,Technical college,3/31/2022,Chadwick Harrison,Chadwick Harrison,Chadwick_Harrison426@bauros.biz,5-741-257-7203,Male,1/1/2021,San Diego,192.009597395086
843,Gabriel Lyon,-88.350441736798,Corporate university,4/8/2022,Gabriel Lyon,Gabriel Lyon,Gabriel_Lyon2161@brety.org,6-302-001-2037,Male,6/7/2021,Santa Ana,85.065808493209
844,Jacob Jones,152.729005439081,University-preparatory school,4/8/2022,Jacob Jones,Jacob Jones,Jacob_Jones5633@iatim.tech,7-036-321-0436,Male,8/14/2020,Cincinnati,78.3094295185569
845,Mike Cooper,28.3481406855155,Corporate university,4/16/2022,Mike Cooper,Mike Cooper,Mike_Cooper2286@qater.org,6-478-611-0153,Male,7/14/2021,Milano,23.3369859491181
846,Lindsay Johnson,55.8359105860982,High school,4/10/2022,Lindsay Johnson,Lindsay Johnson,Lindsay_Johnson9291@ubusive.com,7-140-432-5243,Female,8/1/2021,Oakland,185.716034033669
847,Owen Jefferson,-55.0762580079382,Technical college,3/11/2022,Owen Jefferson,Owen Jefferson,Owen_Jefferson2009@jiman.org,4-224-305-3725,Male,7/4/2021,San Jose,72.2335196976706
848,Ramon Collingwood,-63.3175644317258,Gymnasium,3/7/2022,Ramon Collingwood,Ramon Collingwood,Ramon_Collingwood3864@yahoo.com,5-027-728-8405,Male,7/18/2021,Springfield,76.5980299443929
849,Rocco Vane,435.272381424099,Corporate university,3/10/2022,Rocco Vane,Rocco Vane,Rocco_Vane4843@sveldo.biz,0-418-035-2243,Male,9/15/2020,Dallas,19.6827544819949
850,David Notman,381.217755359699,Corporate university,3/7/2022,David Notman,David Notman,David_Notman6888@supunk.biz,6-084-330-6171,Male,7/9/2020,Glendale,183.773417990084
851,Luke Morgan,78.9988901247265,Graduate school,4/3/2022,Luke Morgan,Luke Morgan,Luke_Morgan3274@mafthy.com,5-506-628-4853,Male,1/24/2021,San Antonio,182.464274137497
