ID,name,Jee marks,school name,date of application,Father name,Mother name,EmailId,ContactNo,Gender,School completion date,City,CBSE marks
527,Chadwick Yarwood,365.123394175956,University-preparatory school,3/26/2022,Chadwick Yarwood,Chadwick Yarwood,Chadwick_Yarwood2142@famism.biz,5-877-307-2280,Male,4/2/2022,Tallahassee,143.129278176524
528,Makenzie Moreno,334.966964205712,Public university,4/6/2022,Makenzie Moreno,Makenzie Moreno,Makenzie_Moreno1992@joiniaa.com,7-664-460-2660,Female,2/24/2022,Memphis,140.366830352399
529,Chuck Wilcox,316.000894667581,Public university,3/11/2022,Chuck Wilcox,Chuck Wilcox,Chuck_Wilcox6206@infotech44.tech,5-041-623-2424,Male,10/10/2021,Fremont,119.951845979296
530,Hank Watt,230.438875936176,Gymnasium,3/1/2022,Hank Watt,Hank Watt,Hank_Watt8343@liret.org,5-173-631-6474,Male,2/5/2021,Las Vegas,55.4280666417573
531,Celina Wright,196.781883317876,Junior college,3/25/2022,Celina Wright,Celina Wright,Celina_Wright5344@infotech44.tech,8-507-285-0347,Female,10/1/2020,Venice,98.0515221553163
532,Maddison Faulkner,256.040672448017,Public university,4/1/2022,Maddison Faulkner,Maddison Faulkner,Maddison_Faulkner3153@zorer.org,0-084-235-1032,Female,9/25/2021,Wien,161.366759911816
533,Julian Weston,366.873603035637,Public university,3/1/2022,Julian Weston,Julian Weston,Julian_Weston9205@joiniaa.com,8-057-321-1622,Male,1/22/2021,Cincinnati,152.390247119772
534,Sabina Tindall,4.15314656177217,Graduate school,3/12/2022,Sabina Tindall,Sabina Tindall,Sabina_Tindall4487@hourpy.biz,5-082-804-7876,Female,12/30/2021,Quebec,35.1461923453706
535,Tyler Jenkins,476.052218724067,Public university,4/14/2022,Tyler Jenkins,Tyler Jenkins,Tyler_Jenkins2924@brety.org,7-246-844-7728,Male,6/7/2020,Los Angeles,152.848464309633
536,Elisabeth Murphy,23.7789382239706,Graduate school,3/7/2022,Elisabeth Murphy,Elisabeth Murphy,Elisabeth_Murphy6031@famism.biz,5-518-336-5842,Female,4/10/2020,Madrid,181.581702109231
537,Ivy Jackson,56.4792821432833,University college,3/4/2022,Ivy Jackson,Ivy Jackson,Ivy_Jackson5702@twipet.com,7-112-786-7801,Female,5/24/2021,Sacramento,128.253955187394
538,Ada Rixon,411.369957883549,Graduate school,3/18/2022,Ada Rixon,Ada Rixon,Ada_Rixon7255@elnee.tech,7-314-177-8850,Female,10/9/2021,Omaha,175.876531098446
539,Adina Bailey,-55.0406061820875,Graduate school,3/16/2022,Adina Bailey,Adina Bailey,Adina_Bailey2844@grannar.com,4-152-533-5376,Female,1/18/2022,Hayward,187.660612433525
540,Nate Lynn,328.80298999455,Junior college,3/14/2022,Nate Lynn,Nate Lynn,Nate_Lynn105@bulaffy.com,3-505-412-7212,Male,8/21/2020,Cincinnati,105.216269597046
541,Rosalee Gordon,9.20849595461436,Public university,3/24/2022,Rosalee Gordon,Rosalee Gordon,Rosalee_Gordon1621@twipet.com,6-383-675-3851,Female,3/22/2022,Amarillo,197.086155084933
542,Rosie Wright,-92.0894542732693,Technical college,3/23/2022,Rosie Wright,Rosie Wright,Rosie_Wright4023@tonsy.org,4-174-124-5301,Female,2/13/2021,Denver,27.9602337423527
543,Henry Goldsmith,302.707641268944,Public university,3/17/2022,Henry Goldsmith,Henry Goldsmith,Henry_Goldsmith9526@twace.org,3-435-114-6243,Male,1/26/2021,Milwaukee,8.2369938200512
544,Johnny Chadwick,245.102395204409,Graduate school,3/24/2022,Johnny Chadwick,Johnny Chadwick,Johnny_Chadwick2701@deavo.com,2-387-602-2053,Male,1/8/2021,Long Beach,142.756196728328
545,Carina Noach,45.8059037480531,Graduate school,4/17/2022,Carina Noach,Carina Noach,Carina_Noach9721@dionrab.com,8-860-244-5467,Female,5/26/2020,Miami,164.218236093977
546,Jenna Cox,76.9967987551339,Graduate school,3/10/2022,Jenna Cox,Jenna Cox,Jenna_Cox7459@famism.biz,5-154-654-2770,Female,10/4/2020,New York,-2.23743457451343
547,Lillian Reading,-3.66588439497439,Corporate university,4/3/2022,Lillian Reading,Lillian Reading,Lillian_Reading2948@famism.biz,7-761-843-5585,Female,4/15/2020,Ontario,86.0177200608969
548,Rosalyn Utterson,447.643821824642,Middle school,4/17/2022,Rosalyn Utterson,Rosalyn Utterson,Rosalyn_Utterson8756@bauros.biz,1-462-356-7644,Female,2/16/2022,Oakland,-2.36340872261832
549,Aisha Glass,-73.4214489475924,Corporate university,4/13/2022,Aisha Glass,Aisha Glass,Aisha_Glass2604@hourpy.biz,4-614-723-4425,Female,11/4/2021,Glendale,2.83118015333599
550,Scarlett Sanchez,19.4296376111124,Public university,3/24/2022,Scarlett Sanchez,Scarlett Sanchez,Scarlett_Sanchez5563@brety.org,7-358-463-1735,Female,12/19/2020,Worcester,198.899628485506
551,Eileen Gilbert,337.285517270344,Public university,3/25/2022,Eileen Gilbert,Eileen Gilbert,Eileen_Gilbert957@bungar.biz,8-856-810-2247,Female,8/16/2020,Otawa,63.219569440102
552,Victoria Fisher,119.749443922541,University college,4/3/2022,Victoria Fisher,Victoria Fisher,Victoria_Fisher273@ovock.tech,7-635-268-7145,Female,9/5/2021,Nashville,169.64486905264
553,Regina Redwood,201.472361608163,Graduate school,3/27/2022,Regina Redwood,Regina Redwood,Regina_Redwood7982@gembat.biz,2-140-163-8065,Female,5/23/2020,Anaheim,76.132445846746
554,Aileen Jones,493.895424080498,University college,3/14/2022,Aileen Jones,Aileen Jones,Aileen_Jones8906@guentu.biz,4-223-411-0787,Female,12/7/2020,Pittsburgh,74.8749100863351
555,Isla Lyon,359.215022076953,Gymnasium,3/11/2022,Isla Lyon,Isla Lyon,Isla_Lyon8056@famism.biz,2-170-763-4443,Female,5/8/2020,Louisville,120.844148847668
556,Josh Broomfield,293.207459053121,Graduate school,3/28/2022,Josh Broomfield,Josh Broomfield,Josh_Broomfield5031@typill.biz,1-885-243-2628,Male,10/7/2021,Toledo,19.5656204924759
557,Mayleen Russell,225.15419610271,University-preparatory school,3/28/2022,Mayleen Russell,Mayleen Russell,Mayleen_Russell6540@famism.biz,2-061-314-4183,Female,4/11/2020,Lakewood,116.839159617126
558,Sebastian Jackson,59.0957125365249,Public university,3/22/2022,Sebastian Jackson,Sebastian Jackson,Sebastian_Jackson9241@sheye.org,0-015-301-3555,Male,10/7/2020,Paris,185.643333637921
559,Gil Ranks,287.81530279611,Technical college,4/6/2022,Gil Ranks,Gil Ranks,Gil_Ranks3304@bretoux.com,6-112-172-1761,Male,2/16/2021,Cincinnati,31.9117792374044
560,Brad Herbert,20.6969556895536,University college,3/19/2022,Brad Herbert,Brad Herbert,Brad_Herbert4515@fuliss.net,4-228-200-6677,Male,3/26/2022,Salem,64.7307181669077
561,Daniel Raven,335.052764793882,Technical college,3/1/2022,Daniel Raven,Daniel Raven,Daniel_Raven4428@liret.org,4-366-815-8854,Male,10/5/2021,San Antonio,100.161134204437
562,Sara Rose,249.088747733314,University-preparatory school,3/27/2022,Sara Rose,Sara Rose,Sara_Rose5092@corti.com,8-252-311-1053,Female,9/18/2020,Scottsdale,40.7703654671881
563,Rhea Baker,74.5131607346764,University college,4/10/2022,Rhea Baker,Rhea Baker,Rhea_Baker9623@bretoux.com,6-414-801-8053,Female,6/10/2021,Anaheim,131.557835484649
564,David Thompson,377.404743805716,Graduate school,4/17/2022,David Thompson,David Thompson,David_Thompson5628@fuliss.net,6-025-200-7732,Male,6/22/2020,Denver,100.476060273813
565,Caleb Gibbons,101.20554052722,Graduate school,4/3/2022,Caleb Gibbons,Caleb Gibbons,Caleb_Gibbons9955@mafthy.com,4-455-026-7257,Male,10/7/2020,Irving,175.264692439355
566,Roger Lindsay,212.484902633114,Gymnasium,4/6/2022,Roger Lindsay,Roger Lindsay,Roger_Lindsay3162@bulaffy.com,8-767-241-4336,Male,2/17/2021,Zurich,116.990772330664
567,Elijah Rose,-84.4856244625922,Graduate school,4/15/2022,Elijah Rose,Elijah Rose,Elijah_Rose2694@corti.com,2-868-740-3143,Male,6/24/2021,Jacksonville,141.6653885905
568,Julius Hunter,41.7133552970893,Middle school,4/11/2022,Julius Hunter,Julius Hunter,Julius_Hunter4009@irrepsy.com,1-173-167-3521,Male,5/23/2021,Stockton,100.837194321601
569,Doug Gosling,241.808537727598,University college,4/5/2022,Doug Gosling,Doug Gosling,Doug_Gosling2150@muall.tech,0-602-668-5383,Male,1/25/2021,Huntsville,68.4302514956474
570,Liam Simpson,-63.4952761435394,Technical college,3/27/2022,Liam Simpson,Liam Simpson,Liam_Simpson7597@deons.tech,3-351-044-0617,Male,1/5/2021,Minneapolis,166.056837747831
571,Bryon Lomax,-60.2298555016657,University-preparatory school,4/4/2022,Bryon Lomax,Bryon Lomax,Bryon_Lomax6561@nanoff.biz,1-578-662-6132,Male,4/1/2020,El Paso,-9.61969621694633
572,Davina Kaur,328.756652512474,Gymnasium,3/16/2022,Davina Kaur,Davina Kaur,Davina_Kaur9506@qater.org,7-086-846-7300,Female,7/26/2021,Colorado Springs,73.025276684214
573,Isla Waterhouse,455.202530483344,High school,4/12/2022,Isla Waterhouse,Isla Waterhouse,Isla_Waterhouse8654@womeona.net,3-254-602-1111,Female,8/6/2021,Los Angeles,18.2593488778264
574,Nate Ellis,68.1557208072188,Public university,3/6/2022,Nate Ellis,Nate Ellis,Nate_Ellis3855@bauros.biz,4-446-505-0042,Male,4/17/2021,Long Beach,26.8054069000321
575,Denis Spencer,355.176345814102,Middle school,4/16/2022,Denis Spencer,Denis Spencer,Denis_Spencer2351@jiman.org,1-735-301-8810,Male,6/20/2021,Scottsdale,19.8515376368778
576,Rocco Jennson,-99.1017839033631,University-preparatory school,4/8/2022,Rocco Jennson,Rocco Jennson,Rocco_Jennson6812@sveldo.biz,4-720-000-4112,Male,9/6/2020,Fayetteville,122.173053076571
577,Nicholas Vane,373.437798761501,Gymnasium,4/9/2022,Nicholas Vane,Nicholas Vane,Nicholas_Vane7334@vetan.org,1-204-330-3656,Male,11/5/2020,Bakersfield,112.629795284769
578,Anthony Marshall,415.79489981327,Corporate university,3/2/2022,Anthony Marshall,Anthony Marshall,Anthony_Marshall5702@guentu.biz,7-340-412-4701,Male,10/1/2020,Honolulu,103.007993045732
579,Caleb Simpson,155.650719912094,University college,3/22/2022,Caleb Simpson,Caleb Simpson,Caleb_Simpson5400@zorer.org,1-067-263-7570,Male,10/14/2020,Richmond,156.52641205747
580,Tiffany Graves,-13.636971570848,Corporate university,3/1/2022,Tiffany Graves,Tiffany Graves,Tiffany_Graves8760@vetan.org,0-210-357-6645,Female,7/14/2021,New York,113.832309043422
581,Irene Harvey,276.249171052244,Gymnasium,4/17/2022,Irene Harvey,Irene Harvey,Irene_Harvey8382@infotech44.tech,7-610-406-5030,Female,3/6/2021,Amarillo,137.837416970095
582,Bree Willson,357.70430545076,Junior college,4/1/2022,Bree Willson,Bree Willson,Bree_Willson2411@zorer.org,4-847-533-5018,Female,11/3/2021,Escondido,6.44951579414751
583,Sebastian Mcleod,404.087791186333,Technical college,3/1/2022,Sebastian Mcleod,Sebastian Mcleod,Sebastian_Mcleod1540@muall.tech,2-744-781-2040,Male,12/3/2021,Glendale,26.4767263599097
584,Kieth Beal,416.624747786962,Public university,3/4/2022,Kieth Beal,Kieth Beal,Kieth_Beal9439@nickia.com,6-846-822-2117,Male,1/4/2022,Fort Lauderdale,16.0211466099234
585,Ryan Drew,208.657684546736,Junior college,4/16/2022,Ryan Drew,Ryan Drew,Ryan_Drew5590@qater.org,6-172-722-4648,Male,3/16/2021,Miami,71.0531064919443
586,Marvin Stark,76.0911468300462,Graduate school,3/21/2022,Marvin Stark,Marvin Stark,Marvin_Stark4703@hourpy.biz,4-521-207-7675,Male,7/4/2020,Orlando,131.94995672626
587,Margot Clifton,74.7115987766122,Middle school,4/11/2022,Margot Clifton,Margot Clifton,Margot_Clifton4224@zorer.org,4-164-510-3854,Female,1/28/2021,Orlando,28.3640913978983
588,Boris Latham,-52.267881024288,High school,3/18/2022,Boris Latham,Boris Latham,Boris_Latham2434@hourpy.biz,3-201-131-4832,Male,11/7/2021,Boston,176.674445327685
589,Harvey Wren,-88.8757776491697,Graduate school,3/6/2022,Harvey Wren,Harvey Wren,Harvey_Wren5350@famism.biz,8-661-032-0625,Male,4/7/2020,Paris,60.4738403314137
590,Britney Vernon,464.020097378185,Graduate school,3/15/2022,Britney Vernon,Britney Vernon,Britney_Vernon4717@supunk.biz,2-332-103-3477,Female,4/4/2022,Pittsburgh,49.8247605682466
591,Chelsea Dubois,-18.0629013567525,Junior college,4/9/2022,Chelsea Dubois,Chelsea Dubois,Chelsea_Dubois5199@grannar.com,0-283-061-8278,Female,4/21/2021,San Bernardino,149.280484429691
592,Shannon Clifford,318.964551207127,University-preparatory school,3/12/2022,Shannon Clifford,Shannon Clifford,Shannon_Clifford2664@iatim.tech,6-836-607-4353,Female,4/16/2022,Fremont,94.8487445916276
593,Lynn Ellwood,96.0552270766605,Corporate university,3/28/2022,Lynn Ellwood,Lynn Ellwood,Lynn_Ellwood2751@deons.tech,4-012-014-0802,Female,7/14/2021,Milano,135.609971474675
594,Luna Lloyd,123.600777289179,Junior college,4/1/2022,Luna Lloyd,Luna Lloyd,Luna_Lloyd723@guentu.biz,5-047-471-6303,Female,12/6/2021,Huntsville,31.8677724212724
595,Elijah Oldfield,202.538211304479,Gymnasium,4/1/2022,Elijah Oldfield,Elijah Oldfield,Elijah_Oldfield9017@muall.tech,8-715-712-1728,Male,9/3/2021,Glendale,145.938515803282
596,Fred Nayler,253.688085393369,Graduate school,3/28/2022,Fred Nayler,Fred Nayler,Fred_Nayler2925@nanoff.biz,3-433-051-5560,Male,8/26/2020,San Jose,64.0912532452919
597,Darlene Clarkson,233.934315358258,High school,3/13/2022,Darlene Clarkson,Darlene Clarkson,Darlene_Clarkson1958@gmail.com,2-514-526-4861,Female,8/19/2021,Valetta,52.7519548860155
598,Maya Neville,244.873990313557,Gymnasium,4/18/2022,Maya Neville,Maya Neville,Maya_Neville1421@bulaffy.com,2-327-406-4457,Female,4/22/2020,Escondido,100.863606800262
599,Tom Andrews,287.844601120727,University-preparatory school,4/18/2022,Tom Andrews,Tom Andrews,Tom_Andrews7689@dionrab.com,6-677-037-6257,Male,1/25/2022,Oakland,176.101498688153
600,Tony Beal,-68.0408127508316,High school,4/5/2022,Tony Beal,Tony Beal,Tony_Beal8385@tonsy.org,7-651-323-0446,Male,2/24/2021,Denver,168.442057082635
601,Isla West,235.948072779434,High school,4/5/2022,Isla West,Isla West,Isla_West9344@corti.com,2-440-325-1237,Female,10/19/2021,San Bernardino,67.9602404613794
602,Rufus Utterson,81.495084803782,Junior college,3/11/2022,Rufus Utterson,Rufus Utterson,Rufus_Utterson4174@liret.org,6-583-080-8455,Male,8/4/2020,Omaha,54.1085792589507
603,Boris Tobin,277.982461877159,Junior college,3/9/2022,Boris Tobin,Boris Tobin,Boris_Tobin6682@atink.com,4-710-078-3574,Male,9/27/2021,Bridgeport,55.4115953060852
604,David Robinson,169.491326049665,University-preparatory school,4/15/2022,David Robinson,David Robinson,David_Robinson39@jiman.org,6-731-206-8058,Male,8/8/2020,Stockton,77.0352132911958
605,Peter Shaw,259.049894514517,Gymnasium,3/22/2022,Peter Shaw,Peter Shaw,Peter_Shaw8079@typill.biz,3-546-626-5083,Male,3/3/2021,Kansas City,109.032244883958
606,Julian Thomas,309.798765386827,Corporate university,3/10/2022,Julian Thomas,Julian Thomas,Julian_Thomas3795@famism.biz,7-174-754-0537,Male,2/7/2021,Charlotte,167.15999937484
607,Carl Webster,465.08389363209,Technical college,4/16/2022,Carl Webster,Carl Webster,Carl_Webster9278@mafthy.com,7-675-155-2554,Male,4/10/2021,Los Angeles,89.0356398816386
608,Ciara Greenwood,457.928760835402,High school,3/13/2022,Ciara Greenwood,Ciara Greenwood,Ciara_Greenwood9299@nimogy.biz,5-668-154-1435,Female,11/17/2021,Denver,115.68378604049
609,Tania Robertson,184.275959937962,Middle school,4/9/2022,Tania Robertson,Tania Robertson,Tania_Robertson9105@gompie.com,3-688-668-6622,Female,6/19/2020,Arlington,6.81772922715998
610,Francesca Pitt,462.292604051667,Public university,3/10/2022,Francesca Pitt,Francesca Pitt,Francesca_Pitt6433@gompie.com,2-571-776-7617,Female,9/22/2021,Tulsa,-4.33635507120581
611,Logan Rodwell,98.1580143571636,Middle school,4/7/2022,Logan Rodwell,Logan Rodwell,Logan_Rodwell2258@twace.org,3-068-824-2241,Female,1/14/2021,Bellevue,9.82766107182375
612,Gladys Kennedy,492.748896535369,Middle school,3/14/2022,Gladys Kennedy,Gladys Kennedy,Gladys_Kennedy1426@ovock.tech,2-404-801-0006,Female,7/31/2020,Saint Paul,188.541107368907
613,Jenna Kennedy,62.3186549429403,University college,3/4/2022,Jenna Kennedy,Jenna Kennedy,Jenna_Kennedy7075@corti.com,1-147-520-2100,Female,2/27/2022,Fort Lauderdale,16.3237394575606
614,Barney Ryan,278.226828548232,Technical college,3/11/2022,Barney Ryan,Barney Ryan,Barney_Ryan569@twipet.com,3-244-156-3545,Male,3/22/2021,Memphis,35.2453483097466
615,Fred Turner,310.387462152814,University college,3/27/2022,Fred Turner,Fred Turner,Fred_Turner5633@atink.com,3-165-434-1136,Male,3/26/2021,New Orleans,120.880516833104
616,Cynthia Irving,38.5656022632334,Public university,4/1/2022,Cynthia Irving,Cynthia Irving,Cynthia_Irving3119@joiniaa.com,0-031-160-4860,Female,2/13/2021,Venice,84.3830278247516
617,Adelaide Moreno,-56.5255757256064,Corporate university,4/14/2022,Adelaide Moreno,Adelaide Moreno,Adelaide_Moreno2374@vetan.org,5-786-502-0341,Female,10/6/2021,San Diego,81.443438656369
618,Chad Porter,221.720614693929,Technical college,4/18/2022,Chad Porter,Chad Porter,Chad_Porter5370@corti.com,6-614-132-0063,Male,11/6/2020,San Antonio,44.1096284189772
619,Tony Becker,-82.8348073609335,Junior college,3/18/2022,Tony Becker,Tony Becker,Tony_Becker1821@hourpy.biz,6-883-151-3323,Male,4/3/2021,Denver,186.663873127971
620,Tony Smith,446.359541118778,Graduate school,4/3/2022,Tony Smith,Tony Smith,Tony_Smith1775@twace.org,3-876-021-3657,Male,1/10/2021,Bellevue,196.108813664461
621,Lexi Morrison,-53.2955676844789,Technical college,4/18/2022,Lexi Morrison,Lexi Morrison,Lexi_Morrison6272@famism.biz,5-100-352-2805,Female,4/13/2021,Bridgeport,51.1445328011851
622,Shay Bayliss,-62.1064830944438,University-preparatory school,4/11/2022,Shay Bayliss,Shay Bayliss,Shay_Bayliss6683@yahoo.com,7-042-525-5876,Female,6/19/2020,Louisville,17.4536230449814
623,Logan Ashwell,387.868554769954,Gymnasium,3/7/2022,Logan Ashwell,Logan Ashwell,Logan_Ashwell4362@twace.org,1-286-780-7286,Female,3/8/2022,Salem,69.2758375412206
624,Sabrina Gosling,313.214732380218,University-preparatory school,3/15/2022,Sabrina Gosling,Sabrina Gosling,Sabrina_Gosling532@yahoo.com,0-464-818-1532,Female,4/11/2022,Louisville,69.1677932442016
625,Sebastian Morrow,307.097246673003,Technical college,3/29/2022,Sebastian Morrow,Sebastian Morrow,Sebastian_Morrow2672@deavo.com,3-185-618-5721,Male,1/9/2021,Fayetteville,41.4216169316422
626,Anthony Hale,-59.2154849801285,High school,4/9/2022,Anthony Hale,Anthony Hale,Anthony_Hale3601@grannar.com,5-367-804-4546,Male,8/2/2021,Long Beach,19.8868522764588
627,Maddison Carter,-98.2525054226874,Middle school,3/7/2022,Maddison Carter,Maddison Carter,Maddison_Carter5614@bungar.biz,2-464-268-3547,Female,10/13/2021,Reno,24.5095792261463
628,Judith Woods,297.465272977234,Technical college,3/18/2022,Judith Woods,Judith Woods,Judith_Woods8632@brety.org,4-053-775-2536,Female,8/10/2020,Rome,37.7248441510484
629,Catherine Andrews,49.0822569085668,Gymnasium,4/9/2022,Catherine Andrews,Catherine Andrews,Catherine_Andrews7854@eirey.tech,5-772-517-0417,Female,2/11/2022,Laredo,28.100748035638
630,Julianna Alldridge,143.092851957815,Middle school,4/11/2022,Julianna Alldridge,Julianna Alldridge,Julianna_Alldridge5711@mafthy.com,3-710-330-6061,Female,11/12/2020,Amarillo,138.319602125939
631,Hayden Lambert,135.788712857658,University-preparatory school,3/20/2022,Hayden Lambert,Hayden Lambert,Hayden_Lambert6482@twipet.com,0-854-160-6014,Female,8/11/2021,Escondido,121.515666520463
632,Erick Baldwin,160.794694540927,Technical college,3/21/2022,Erick Baldwin,Erick Baldwin,Erick_Baldwin7024@zorer.org,8-431-263-3588,Male,4/9/2022,Milano,103.291159541947
633,Caleb Whittle,-52.5098018876788,Junior college,3/26/2022,Caleb Whittle,Caleb Whittle,Caleb_Whittle3883@joiniaa.com,6-325-521-6382,Male,8/9/2021,Chicago,137.68514392976
634,Maddison Selby,77.3439809788689,University college,3/18/2022,Maddison Selby,Maddison Selby,Maddison_Selby9504@kideod.biz,6-141-766-2437,Female,3/27/2021,Anaheim,147.082827584857
635,Sharon Baker,207.309075964759,Public university,3/5/2022,Sharon Baker,Sharon Baker,Sharon_Baker2849@eirey.tech,0-345-616-6663,Female,5/2/2021,Fayetteville,45.949249742529
636,Marvin Irving,292.229273569411,University college,4/3/2022,Marvin Irving,Marvin Irving,Marvin_Irving7714@naiker.biz,0-107-486-5280,Male,5/21/2021,Lincoln,29.2837341065908
637,Julius Collis,475.11086623143,Graduate school,4/7/2022,Julius Collis,Julius Collis,Julius_Collis9630@cispeto.com,8-883-833-2735,Male,1/21/2021,Indianapolis,166.700572715001
638,Ramon Darcy,441.097344770607,Corporate university,3/13/2022,Ramon Darcy,Ramon Darcy,Ramon_Darcy7468@typill.biz,5-231-354-7457,Male,4/18/2021,Milwaukee,16.6710946730669
639,Gina Murray,391.525267819187,University-preparatory school,3/4/2022,Gina Murray,Gina Murray,Gina_Murray4532@fuliss.net,5-040-388-8488,Female,4/29/2021,Wien,49.6904766306702
640,Mark Bell,459.745459687778,Junior college,3/24/2022,Mark Bell,Mark Bell,Mark_Bell7425@ovock.tech,1-052-388-1502,Male,12/11/2021,San Jose,98.6742015027787
641,Jocelyn Upton,202.709399494673,Technical college,3/7/2022,Jocelyn Upton,Jocelyn Upton,Jocelyn_Upton810@ubusive.com,5-607-087-5301,Female,1/15/2022,Irving,-9.81668020916017
642,Aeris Chapman,466.733502373441,Middle school,3/29/2022,Aeris Chapman,Aeris Chapman,Aeris_Chapman1554@dionrab.com,2-465-372-1348,Female,8/28/2021,Bridgeport,133.031213198803
643,Kirsten Thorne,250.231602261416,Gymnasium,4/9/2022,Kirsten Thorne,Kirsten Thorne,Kirsten_Thorne152@tonsy.org,2-207-513-4247,Female,4/4/2022,Dallas,27.9601138923131
644,Marie Taylor,-88.8217938015339,Technical college,4/15/2022,Marie Taylor,Marie Taylor,Marie_Taylor4908@corti.com,5-325-851-2421,Female,8/30/2021,Wien,106.557570551782
645,Benny Rogers,356.181679069615,Public university,3/13/2022,Benny Rogers,Benny Rogers,Benny_Rogers6370@deavo.com,7-781-454-3537,Male,4/17/2020,Bellevue,110.321724320446
646,Marvin Quinton,397.915258832702,Middle school,3/30/2022,Marvin Quinton,Marvin Quinton,Marvin_Quinton7667@hourpy.biz,5-743-867-4841,Male,9/18/2020,Madrid,106.926749228931
647,Gladys Watt,16.5660799041232,Corporate university,4/18/2022,Gladys Watt,Gladys Watt,Gladys_Watt5080@extex.org,6-751-543-5530,Female,2/22/2022,Kansas City,13.8640316933692
648,Julia Fox,-66.9772534440166,Graduate school,4/2/2022,Julia Fox,Julia Fox,Julia_Fox6771@sheye.org,5-343-054-3288,Female,1/2/2021,San Diego,139.387438026437
649,Helen Jobson,352.988231138321,Gymnasium,4/8/2022,Helen Jobson,Helen Jobson,Helen_Jobson5467@guentu.biz,6-854-835-0856,Female,11/14/2021,Nashville,61.3877873883526
650,Alexander Blackwall,394.839421769529,University college,4/3/2022,Alexander Blackwall,Alexander Blackwall,Alexander_Blackwall387@nickia.com,4-602-372-0786,Male,8/22/2020,Huntsville,87.1091163834134
651,Marjorie Saunders,-13.9425497459912,Middle school,3/5/2022,Marjorie Saunders,Marjorie Saunders,Marjorie_Saunders8574@sveldo.biz,6-882-867-0702,Female,2/26/2021,Columbus,55.7235910788754
