,ID,Jee marks,school name,date of application,EmailId,ContactNo,Gender,School completion date,City,CBSE marks,first name,last name,Father first name,Father last name, Mother first name,Mother last name
10,49,348.989890828258,Corporate university,03/03/2022,Alan_Ramsey2702@cispeto.com,4-2181566663,M,16/01/2021,Omaha,22.68530137397112,alan,ramsey,alan,ramsey,alan,ramsey
11,86,461.924348355236,University college,09/03/2022,Michael_Tutton9182@dionrab.com,4-2048333772,M,02/01/2022,Portland,35.37110018368842,michael,tutton,michael,tutton,michael,tutton
12,97,411.348537627304,Middle school,12/04/2022,Jackeline_Lynch1740@bretoux.com,5-8787607571,F,09/07/2021,Madison,34.29823555199793,jackeline,lynch,jackeline,lynch,jackeline,lynch
13,99,474.681789680702,Junior college,15/03/2022,Beatrice_Mcneill7673@ubusive.com,0-8156157852,F,17/03/2021,Lancaster,4.805424042360421,beatrice,mcneill,beatrice,mcneill,beatrice,mcneill
14,102,499.668184687229,Gymnasium,15/04/2022,Barney_Ralph7395@iatim.tech,0-6226377465,M,13/02/2021,Otawa,29.87686269532262,barney,ralph,barney,ralph,barney,ralph
15,110,373.621441440015,Junior college,12/03/2022,Cassidy_Lewis3331@yahoo.com,2-3573762286,F,11/02/2022,Henderson,38.26499233447692,cassidy,lewis,cassidy,lewis,cassidy,lewis
16,111,323.817434955769,Junior college,03/04/2022,Makena_Michael7758@muall.tech,8-8222106275,F,01/06/2020,Lisbon,2.578203706279325,makena,michael,makena,michael,makena,michael
17,112,282.613487005054,Junior college,31/03/2022,Andie_Ross4513@bungar.biz,1-4265525216,F,11/12/2021,Lyon,36.62037052190393,andie,ross,andie,ross,andie,ross
18,113,381.602943687515,Corporate university,13/03/2022,Martha_Avery3818@corti.com,0-7835701266,F,02/01/2022,Houston,17.819805085514425,martha,avery,martha,avery,martha,avery
19,122,248.751072124462,University-preparatory school,01/03/2022,Sebastian_Carter8250@qater.org,4-2770066475,M,09/05/2020,Portland,5.248598787988627,sebastian,carter,sebastian,carter,sebastian,carter
20,131,444.895221358582,Gymnasium,25/03/2022,Ramon_Baker9583@bauros.biz,8-0006633044,M,17/01/2022,Richmond,2.0012885648156242,ramon,baker,ramon,baker,ramon,baker
21,133,237.087934852619,Gymnasium,21/03/2022,Adina_Jenkin94@twipet.com,6-2288831183,F,12/04/2020,Rochester,25.77565102961163,adina,jenkin,adina,jenkin,adina,jenkin
22,140,493.201516691224,Technical college,27/03/2022,Jessica_Norris5736@elnee.tech,4-7038713347,F,22/04/2020,Detroit,38.34732261775853,jessica,norris,jessica,norris,jessica,norris
23,142,220.046914386585,Gymnasium,26/03/2022,Ally_Walton8962@zorer.org,2-0814875634,F,06/03/2022,Bucharest,29.102131541339524,ally,walton,ally,walton,ally,walton
24,156,400.866209503201,University-preparatory school,07/04/2022,Harry_Niles856@twipet.com,3-3180170716,M,20/12/2020,Scottsdale,21.31737426537412,harry,niles,harry,niles,harry,niles
25,173,226.015514409642,Public university,05/03/2022,Matt_Nobbs6570@mafthy.com,0-1040562642,M,14/04/2020,Saint Paul,33.89748335060063,matt,nobbs,matt,nobbs,matt,nobbs
26,208,439.121948029437,High school,03/03/2022,Christy_Turner6075@supunk.biz,3-8766738221,F,18/09/2020,Nashville,47.56993479674663,christy,turner,christy,turner,christy,turner
27,209,433.362713005563,Graduate school,27/03/2022,Gabriel_Blackburn9448@joiniaa.com,0-2336480622,M,31/03/2021,Berna,25.44309210046783,gabriel,blackburn,gabriel,blackburn,gabriel,blackburn
28,216,224.063680226944,Gymnasium,29/03/2022,Lexi_Ianson1413@deons.tech,8-6574515715,F,22/07/2020,Los Angeles,25.741358179417922,lexi,ianson,lexi,ianson,lexi,ianson
29,221,413.432538813181,Technical college,02/04/2022,Sydney_Umney2576@corti.com,4-6730410173,F,02/02/2022,Santa Ana,5.720472134458824,sydney,umney,sydney,umney,sydney,umney
30,227,258.90995713552,High school,17/03/2022,Javier_Whinter9738@hourpy.biz,4-5144666111,M,14/03/2022,Memphis,28.88788185071082,javier,whinter,javier,whinter,javier,whinter
31,232,381.612017124711,Corporate university,17/04/2022,Lorraine_Stuart544@jiman.org,4-2430514278,F,06/12/2021,Kansas City,34.97013392524783,lorraine,stuart,lorraine,stuart,lorraine,stuart
32,234,200.527842316091,Junior college,08/04/2022,Daron_Beal4299@muall.tech,2-5573277511,M,04/09/2020,Phoenix,32.49651463346843,daron,beal,daron,beal,daron,beal
33,240,418.828571806582,Middle school,13/04/2022,Norah_Fox2995@ovock.tech,5-6544323720,F,08/04/2020,Richmond,12.561581223472622,norah,fox,norah,fox,norah,fox
34,249,324.0692229234,University college,02/03/2022,Oliver_Haines9767@twace.org,4-2507114072,M,30/09/2021,Bellevue,35.738876253184124,oliver,haines,oliver,haines,oliver,haines
35,250,441.717993277459,University college,22/03/2022,Domenic_Taylor8871@mafthy.com,2-5386746710,M,12/11/2020,Seattle,21.86905574134493,domenic,taylor,domenic,taylor,domenic,taylor
36,261,448.30840081084,High school,13/04/2022,Percy_Evans2099@fuliss.net,5-6702453748,M,06/08/2021,Boston,22.554951024439426,percy,evans,percy,evans,percy,evans
37,262,259.173272464505,Public university,03/04/2022,Penny_Lee1834@eirey.tech,3-2834436367,F,17/09/2021,Rome,25.579556712624218,penny,lee,penny,lee,penny,lee
38,272,226.766800987891,Public university,16/03/2022,Johnny_Locke1064@bauros.biz,7-6055213665,M,04/10/2021,Tulsa,19.17833470275992,johnny,locke,johnny,locke,johnny,locke
39,273,209.939153053304,Gymnasium,18/03/2022,Owen_Jackson4267@twace.org,3-2411025725,M,09/07/2021,Jersey City,13.481596657238526,owen,jackson,owen,jackson,owen,jackson
40,281,469.612300483329,Graduate school,17/04/2022,Jaylene_Willis204@gmail.com,5-1544045153,F,15/12/2020,Atlanta,9.444958759618224,jaylene,willis,jaylene,willis,jaylene,willis
41,284,239.921907349453,High school,30/03/2022,Bart_Umney2397@deons.tech,1-4032267826,M,07/04/2022,Milwaukee,30.747441472773026,bart,umney,bart,umney,bart,umney
42,294,278.478146338592,Middle school,18/04/2022,Ivette_Shea4747@kideod.biz,3-3327546667,F,31/03/2022,Hayward,16.37678185349632,ivette,shea,ivette,shea,ivette,shea
43,302,490.458463529804,Public university,04/04/2022,Adela_Strong2879@twipet.com,6-4404631116,F,06/10/2021,Valetta,7.115337332703625,adela,strong,adela,strong,adela,strong
44,306,276.089095721063,Graduate school,07/04/2022,Nathan_Brown6805@naiker.biz,2-4648480442,M,02/05/2021,Lisbon,18.93304582117252,nathan,brown,nathan,brown,nathan,brown
45,309,363.349343668366,Middle school,01/04/2022,Harvey_Emerson6014@nimogy.biz,4-4265243425,M,06/12/2021,London,21.54399148021532,harvey,emerson,harvey,emerson,harvey,emerson
46,313,329.917945099025,University-preparatory school,03/04/2022,Liv_Mason3833@atink.com,6-1145780073,F,20/06/2021,Colorado Springs,0.8226073680875245,liv,mason,liv,mason,liv,mason
47,317,461.584902890299,Middle school,06/04/2022,Harry_Hopkins1281@guentu.biz,8-1163847563,M,12/08/2020,Tokyo,9.432038611872926,harry,hopkins,harry,hopkins,harry,hopkins
48,322,213.653786043475,University-preparatory school,06/03/2022,Jack_Irwin9029@infotech44.tech,5-2781486485,M,15/03/2021,Miami,21.110929439300925,jack,irwin,jack,irwin,jack,irwin
49,332,245.119548309184,Junior college,07/03/2022,Kurt_Terry7327@eirey.tech,4-1082422078,M,07/11/2021,Zurich,27.48237516048922,kurt,terry,kurt,terry,kurt,terry
50,347,240.640353990551,Corporate university,08/03/2022,Angelica_Walker6792@gompie.com,2-6503007168,F,05/05/2021,Prague,3.371699190345325,angelica,walker,angelica,walker,angelica,walker
51,352,272.497610225574,University-preparatory school,08/04/2022,Luke_Roman4464@typill.biz,8-6511566612,M,10/05/2020,Oakland,9.444548586529727,luke,roman,luke,roman,luke,roman
52,371,233.433650720601,Junior college,29/03/2022,Harvey_Robertson7319@liret.org,8-1347373118,M,19/10/2020,San Bernardino,20.217512661631723,harvey,robertson,harvey,robertson,harvey,robertson
53,372,477.324570511619,Technical college,04/04/2022,Morgan_Appleton5031@extex.org,1-3143512752,F,10/03/2022,Lancaster,12.193579016282825,morgan,appleton,morgan,appleton,morgan,appleton
54,373,427.43174034936,Graduate school,12/03/2022,Gloria_Jordan3805@jiman.org,7-5178025550,F,28/08/2020,Chicago,2.2238121112312257,gloria,jordan,gloria,jordan,gloria,jordan
55,375,489.995373960117,University college,07/04/2022,Carmella_Oliver3697@atink.com,3-0371710238,F,27/06/2020,El Paso,33.598709539728425,carmella,oliver,carmella,oliver,carmella,oliver
56,380,303.380759558352,University college,14/04/2022,Chad_Glass6816@deons.tech,8-3220602536,M,07/04/2022,Stockton,30.91433335504683,chad,glass,chad,glass,chad,glass
57,400,376.765460957664,Middle school,29/03/2022,Denny_Raven3308@acrit.org,6-5041025455,M,13/04/2020,Paris,14.476771508039128,denny,raven,denny,raven,denny,raven
58,415,285.806988745372,Junior college,10/04/2022,Johnny_Santos9186@womeona.net,1-8224543060,M,18/04/2020,Miami,35.923637610763926,johnny,santos,johnny,santos,johnny,santos
59,418,204.471050394453,Middle school,25/03/2022,George_Simpson9029@joiniaa.com,2-7022546541,M,18/06/2020,Irving,26.97136729855132,george,simpson,george,simpson,george,simpson
60,419,232.457343590659,Gymnasium,23/03/2022,Anabelle_Baker5116@bulaffy.com,7-7034340672,F,10/01/2022,Scottsdale,4.161198027446325,anabelle,baker,anabelle,baker,anabelle,baker
61,427,412.342745851885,High school,29/03/2022,Meredith_Mcgregor5522@womeona.net,6-0528770040,F,20/10/2021,Houston,37.75485542445653,meredith,mcgregor,meredith,mcgregor,meredith,mcgregor
62,428,213.190809031106,Junior college,16/03/2022,Eden_Kelly7800@bretoux.com,7-3878677405,F,03/06/2021,El Paso,48.416481542999925,eden,kelly,eden,kelly,eden,kelly
63,437,260.36731350765,High school,22/03/2022,Lauren_Groves7150@eirey.tech,0-2506855535,F,22/02/2022,Innsbruck,43.91499137309592,lauren,groves,lauren,groves,lauren,groves
64,450,411.370117805605,University-preparatory school,17/03/2022,Gil_Oliver361@tonsy.org,5-5263555582,M,10/12/2021,Toledo,44.79303677736902,gil,oliver,gil,oliver,gil,oliver
65,451,457.758932944741,Gymnasium,08/04/2022,Chester_Bryant6942@nanoff.biz,5-6767080618,M,28/08/2020,Amarillo,32.30989896374732,chester,bryant,chester,bryant,chester,bryant
66,454,429.828597594904,Gymnasium,03/04/2022,Hank_Vincent2339@famism.biz,0-1013233385,M,06/09/2021,Louisville,22.057245168800826,hank,vincent,hank,vincent,hank,vincent
67,461,231.700326979952,Graduate school,16/04/2022,Moira_Tutton8362@womeona.net,8-3742783385,F,28/09/2020,Bridgeport,45.88720939483343,moira,tutton,moira,tutton,moira,tutton
68,464,400.020815097737,Technical college,07/03/2022,Ema_Bishop2121@sheye.org,7-4123412446,F,09/07/2021,Innsbruck,27.37059806112213,ema,bishop,ema,bishop,ema,bishop
69,471,237.518667821083,Technical college,11/03/2022,Miley_Osmond2106@joiniaa.com,2-4014688104,F,27/03/2021,Hollywood,24.153304068848023,miley,osmond,miley,osmond,miley,osmond
70,475,371.178321476177,Junior college,03/04/2022,Chad_Blythe6796@bauros.biz,7-6366084113,M,24/05/2020,Tokyo,36.42108159758653,chad,blythe,chad,blythe,chad,blythe
71,476,414.619641919909,Graduate school,15/03/2022,Owen_Mould8012@mafthy.com,6-6713773351,M,17/08/2020,Saint Paul,45.27385923086832,owen,mould,owen,mould,owen,mould
72,493,377.555257756522,Middle school,11/04/2022,Rick_Hall6406@infotech44.tech,8-7158054562,M,24/09/2020,Richmond,31.926586530076428,rick,hall,rick,hall,rick,hall
73,498,290.925530882052,Graduate school,09/04/2022,Gladys_Stanton7560@corti.com,1-2083552685,F,02/11/2020,Bellevue,11.697614711507825,gladys,stanton,gladys,stanton,gladys,stanton
74,504,436.347557919262,University-preparatory school,23/03/2022,Jessica_Briggs2677@gmail.com,5-0680431621,F,01/10/2020,Jacksonville,10.112853594581821,jessica,briggs,jessica,briggs,jessica,briggs
75,506,427.060085677104,High school,11/03/2022,Michael_Shaw6678@famism.biz,2-1817351880,M,27/08/2021,Baltimore,22.62426073546232,michael,shaw,michael,shaw,michael,shaw
76,511,430.190707349773,Technical college,11/04/2022,John_Notman2997@famism.biz,5-8350454583,M,03/01/2022,Jacksonville,38.489123663566424,john,notman,john,notman,john,notman
77,512,485.083073751574,Graduate school,06/04/2022,Camila_Vaughn5110@irrepsy.com,0-3880428161,F,12/10/2020,Oakland,9.576143013521026,camila,vaughn,camila,vaughn,camila,vaughn
78,518,491.708705961569,Graduate school,01/03/2022,Karla_Gaynor5682@bretoux.com,4-3683177202,F,25/07/2021,Philadelphia,38.504338932863426,karla,gaynor,karla,gaynor,karla,gaynor
79,526,315.184538683009,Graduate school,13/04/2022,Carolyn_Torres5923@ubusive.com,8-4432116870,F,12/05/2021,Bridgeport,8.805168005020725,carolyn,torres,carolyn,torres,carolyn,torres
80,530,230.438875936176,Gymnasium,01/03/2022,Hank_Watt8343@liret.org,5-1736316474,M,05/02/2021,Las Vegas,5.243365889933422,hank,watt,hank,watt,hank,watt
81,551,337.285517270344,Public university,25/03/2022,Eileen_Gilbert957@bungar.biz,8-8568102247,F,16/08/2020,Otawa,13.034868688278124,eileen,gilbert,eileen,gilbert,eileen,gilbert
82,553,201.472361608163,Graduate school,27/03/2022,Regina_Redwood7982@gembat.biz,2-1401638065,F,23/05/2020,Anaheim,25.94774509492212,regina,redwood,regina,redwood,regina,redwood
83,554,493.895424080498,University college,14/03/2022,Aileen_Jones8906@guentu.biz,4-2234110787,F,07/12/2020,Pittsburgh,24.69020933451123,aileen,jones,aileen,jones,aileen,jones
84,569,241.808537727598,University college,05/04/2022,Doug_Gosling2150@muall.tech,0-6026685383,M,25/01/2021,Huntsville,18.24555074382352,doug,gosling,doug,gosling,doug,gosling
85,572,328.756652512474,Gymnasium,16/03/2022,Davina_Kaur9506@qater.org,7-0868467300,F,26/07/2021,Colorado Springs,22.84057593239013,davina,kaur,davina,kaur,davina,kaur
86,585,208.657684546736,Junior college,16/04/2022,Ryan_Drew5590@qater.org,6-1727224648,M,16/03/2021,Miami,20.86840574012043,ryan,drew,ryan,drew,ryan,drew
87,592,318.964551207127,University-preparatory school,12/03/2022,Shannon_Clifford2664@iatim.tech,6-8366074353,F,16/04/2022,Fremont,44.66404383980372,shannon,clifford,shannon,clifford,shannon,clifford
88,596,253.688085393369,Graduate school,28/03/2022,Fred_Nayler2925@nanoff.biz,3-4330515560,M,26/08/2020,San Jose,13.90655249346802,fred,nayler,fred,nayler,fred,nayler
89,597,233.934315358258,High school,13/03/2022,Darlene_Clarkson1958@gmail.com,2-5145264861,F,19/08/2021,Valetta,2.5672541341916215,darlene,clarkson,darlene,clarkson,darlene,clarkson
90,601,235.948072779434,High school,05/04/2022,Isla_West9344@corti.com,2-4403251237,F,19/10/2021,San Bernardino,17.775539709555524,isla,west,isla,west,isla,west
91,603,277.982461877159,Junior college,09/03/2022,Boris_Tobin6682@atink.com,4-7100783574,M,27/09/2021,Bridgeport,5.226894554261321,boris,tobin,boris,tobin,boris,tobin
92,607,465.08389363209,Technical college,16/04/2022,Carl_Webster9278@mafthy.com,7-6751552554,M,10/04/2021,Los Angeles,38.850939129814726,carl,webster,carl,webster,carl,webster
93,623,387.868554769954,Gymnasium,07/03/2022,Logan_Ashwell4362@twace.org,1-2867807286,F,08/03/2022,Salem,19.09113678939672,logan,ashwell,logan,ashwell,logan,ashwell
94,624,313.214732380218,University-preparatory school,15/03/2022,Sabrina_Gosling532@yahoo.com,0-4648181532,F,11/04/2022,Louisville,18.98309249237773,sabrina,gosling,sabrina,gosling,sabrina,gosling
95,640,459.745459687778,Junior college,24/03/2022,Mark_Bell7425@ovock.tech,1-0523881502,M,11/12/2021,San Jose,48.489500750954825,mark,bell,mark,bell,mark,bell
96,649,352.988231138321,Gymnasium,08/04/2022,Helen_Jobson5467@guentu.biz,6-8548350856,F,14/11/2021,Nashville,11.203086636528724,helen,jobson,helen,jobson,helen,jobson
97,650,394.839421769529,University college,03/04/2022,Alexander_Blackwall387@nickia.com,4-6023720786,M,22/08/2020,Huntsville,36.92441563158952,alexander,blackwall,alexander,blackwall,alexander,blackwall
98,660,332.517931353542,High school,29/03/2022,Audrey_Farrell8475@womeona.net,7-0475875718,F,28/04/2020,Miami,40.09178225461462,audrey,farrell,audrey,farrell,audrey,farrell
99,668,393.911207569256,Corporate university,23/03/2022,Rick_Keys3709@sheye.org,5-1624772238,M,16/11/2020,Orlando,15.89189019927823,rick,keys,rick,keys,rick,keys
100,672,459.227783645609,Corporate university,13/04/2022,Mike_Ventura716@eirey.tech,4-8643487611,M,12/02/2021,Boston,42.62638972583043,mike,ventura,mike,ventura,mike,ventura
101,674,300.679262066576,Middle school,20/03/2022,Henry_Nielson6500@deons.tech,8-2851804160,M,05/03/2021,Nashville,38.20625132791502,henry,nielson,henry,nielson,henry,nielson
102,675,418.210454585129,Technical college,19/03/2022,Alexander_Wren448@womeona.net,8-1723886444,M,15/04/2022,San Francisco,16.49916696519073,alexander,wren,alexander,wren,alexander,wren
103,677,215.980368765993,Corporate university,09/04/2022,Moira_Smith1975@ovock.tech,8-2774762520,F,11/08/2020,Berlin,37.31557232243252,moira,smith,moira,smith,moira,smith
104,685,465.066904724141,Corporate university,18/04/2022,Eduardo_Notman8020@jiman.org,2-4656128768,M,21/07/2021,Long Beach,13.120948468330624,eduardo,notman,eduardo,notman,eduardo,notman
105,692,223.45321933434,Middle school,28/03/2022,Kamila_Murray3465@grannar.com,3-4661080462,F,13/05/2020,Omaha,13.384192630766826,kamila,murray,kamila,murray,kamila,murray
106,713,475.446747083891,Junior college,13/03/2022,Mark_Partridge3900@nimogy.biz,2-0165673214,M,25/10/2021,San Jose,32.998774153584826,mark,partridge,mark,partridge,mark,partridge
107,719,247.127542334668,Junior college,26/03/2022,Sofia_Fulton790@brety.org,3-4156313578,F,13/04/2020,Bakersfield,5.990794697245825,sofia,fulton,sofia,fulton,sofia,fulton
108,721,206.643376638015,Middle school,08/03/2022,Denis_Hopkinson6820@vetan.org,2-3536263062,M,15/10/2021,Richmond,41.90770593508022,denis,hopkinson,denis,hopkinson,denis,hopkinson
109,736,274.544675502714,Public university,29/03/2022,Camila_Coll1278@bungar.biz,0-4665315511,F,30/09/2020,Minneapolis,37.49734778207122,camila,coll,camila,coll,camila,coll
110,742,414.494011053114,University college,04/04/2022,Vera_Connell7152@twace.org,8-8085070471,F,03/10/2020,Lincoln,10.259549504671824,vera,connell,vera,connell,vera,connell
111,751,400.928233617883,University college,06/04/2022,Benjamin_Jarvis1721@nanoff.biz,3-1038351316,M,07/05/2021,Amarillo,30.12056557042063,benjamin,jarvis,benjamin,jarvis,benjamin,jarvis
112,756,383.936873816856,Middle school,17/04/2022,Aiden_Middleton1436@fuliss.net,0-1673817260,M,04/08/2020,Lancaster,30.89805839153363,aiden,middleton,aiden,middleton,aiden,middleton
113,762,292.006042983851,Corporate university,07/03/2022,Hannah_Mills365@joiniaa.com,3-6111807142,F,30/03/2022,Hollywood,13.544924800942923,hannah,mills,hannah,mills,hannah,mills
114,774,468.022053528122,University-preparatory school,21/03/2022,Alexander_Thorne1150@supunk.biz,0-8042420482,M,17/10/2021,Quebec,0.604115829558026,alexander,thorne,alexander,thorne,alexander,thorne
115,783,368.59049373101,Corporate university,06/04/2022,Cedrick_Morgan1127@twipet.com,7-4306584207,M,27/11/2021,Bucharest,40.186504145644626,cedrick,morgan,cedrick,morgan,cedrick,morgan
116,789,448.299655522825,Public university,11/04/2022,Isla_Mcgregor7134@guentu.biz,3-4217004800,F,28/08/2021,Richmond,33.773989637216324,isla,mcgregor,isla,mcgregor,isla,mcgregor
117,790,447.834446071104,High school,17/04/2022,Angela_Whatson7496@bretoux.com,8-3844450854,F,10/04/2021,Portland,13.619674076554027,angela,whatson,angela,whatson,angela,whatson
118,793,286.009714182471,Middle school,13/04/2022,Melinda_Reynolds7093@fuliss.net,1-5413078663,F,14/01/2022,Tokyo,4.1991112265124215,melinda,reynolds,melinda,reynolds,melinda,reynolds
119,817,488.175619826268,Gymnasium,07/03/2022,Rufus_Flett1302@typill.biz,4-6635703166,M,24/12/2020,El Paso,16.479834094340625,rufus,flett,rufus,flett,rufus,flett
120,875,442.274855714885,High school,03/03/2022,Martha_Gibson9434@fuliss.net,7-7217448571,F,05/11/2020,Cincinnati,17.526543172726527,martha,gibson,martha,gibson,martha,gibson
121,881,442.188565788878,High school,04/04/2022,Chester_Nash8065@nanoff.biz,0-1217174741,M,15/04/2022,Milwaukee,15.984249248567018,chester,nash,chester,nash,chester,nash
122,890,211.663164453424,Public university,09/04/2022,Denny_Whinter2456@gompie.com,7-0326842610,M,02/08/2020,Lincoln,7.390077754044725,denny,whinter,denny,whinter,denny,whinter
123,898,220.464474237275,Middle school,28/03/2022,Nathan_Lindsay6130@muall.tech,3-2140656218,M,16/04/2022,Stockton,2.4006964048698265,nathan,lindsay,nathan,lindsay,nathan,lindsay
124,905,456.0919246525,University-preparatory school,04/03/2022,Mason_Jennson5687@nimogy.biz,5-3037760068,M,09/04/2022,Lyon,11.986096908736826,mason,jennson,mason,jennson,mason,jennson
125,907,443.103423025042,High school,08/04/2022,Freya_Jackson9139@deavo.com,8-6642431110,F,13/02/2022,San Antonio,27.169481528475423,freya,jackson,freya,jackson,freya,jackson
126,920,324.362665349786,University-preparatory school,27/03/2022,Harriet_Morgan7618@nimogy.biz,3-1721717883,F,05/04/2022,Murfreesboro,1.902174169091424,harriet,morgan,harriet,morgan,harriet,morgan
127,932,416.282324814369,Technical college,02/03/2022,Bryce_Rogers5959@corti.com,5-1637623287,F,11/04/2021,Nashville,39.728622875454924,bryce,rogers,bryce,rogers,bryce,rogers
128,938,395.054124225422,Graduate school,15/04/2022,Eduardo_Pearson7211@famism.biz,0-5655420623,M,01/10/2021,Milwaukee,49.58764056696432,eduardo,pearson,eduardo,pearson,eduardo,pearson
129,940,436.505357902267,Gymnasium,18/03/2022,Emerald_Furnell6490@muall.tech,4-3168637787,F,10/12/2021,Venice,11.118104340968522,emerald,furnell,emerald,furnell,emerald,furnell
130,942,481.582861877784,Public university,23/03/2022,Johnathan_Lane1077@bulaffy.com,2-1830476500,M,01/04/2022,Madison,29.23236047155313,johnathan,lane,johnathan,lane,johnathan,lane
131,948,377.409566160948,High school,13/04/2022,Barry_Jenkins7297@irrepsy.com,1-3843527841,M,08/05/2021,Jacksonville,48.78661182739592,barry,jenkins,barry,jenkins,barry,jenkins
132,952,322.12248032732,Gymnasium,02/04/2022,Juliet_Wilde7253@gompie.com,2-7046062433,F,23/07/2021,Huntsville,1.944123443595025,juliet,wilde,juliet,wilde,juliet,wilde
133,953,208.434077557844,Middle school,16/03/2022,Johnathan_Graham7341@gompie.com,7-1215176805,M,03/01/2022,Fremont,7.311984785917026,johnathan,graham,johnathan,graham,johnathan,graham
134,954,402.870066397297,Technical college,15/03/2022,Tyler_Archer7179@elnee.tech,4-6745320015,M,24/12/2021,Venice,2.0728904418379273,tyler,archer,tyler,archer,tyler,archer
135,966,439.687468230113,High school,24/03/2022,Scarlett_Russell5414@twipet.com,8-7776728445,F,12/01/2022,Cincinnati,5.655243650788826,scarlett,russell,scarlett,russell,scarlett,russell
136,969,395.348466599988,University-preparatory school,03/04/2022,Lucas_Savage4221@nimogy.biz,1-0783743836,M,07/01/2021,Saint Paul,19.69467437619543,lucas,savage,lucas,savage,lucas,savage
137,973,339.484729473705,Public university,12/03/2022,Henry_Hope3610@twipet.com,6-5636665003,M,19/06/2021,Bellevue,48.10549540490613,henry,hope,henry,hope,henry,hope
138,975,323.49899173784,Graduate school,05/03/2022,Nina_Rehman6060@fuliss.net,4-8065336827,F,09/04/2020,Anaheim,11.103568687556823,nina,rehman,nina,rehman,nina,rehman
139,976,488.619630536819,Corporate university,17/04/2022,Chuck_Eagle9344@zorer.org,3-3504083710,M,26/01/2022,Garland,46.50741297862353,chuck,eagle,chuck,eagle,chuck,eagle
140,986,252.431600519191,Graduate school,04/03/2022,Chadwick_Owen2727@cispeto.com,2-3234124850,M,20/05/2021,Lyon,37.890589645952126,chadwick,owen,chadwick,owen,chadwick,owen
141,992,362.024698971317,Graduate school,01/03/2022,Nick_Baldwin2390@famism.biz,7-7726253507,M,06/02/2021,Richmond,36.026429247994024,nick,baldwin,nick,baldwin,nick,baldwin
